league;country;team_1;team_2;team_3;team_4;team_5;team_6;team_7;team_8;team_9;team_10;team_11;team_12;team_13;team_14;team_15;team_16;team_17;team_18;team_19;team_20;team_21;team_22;team_23
Allsvenskan;Sverige;AIK;Djurgårdens IF;IF Elfsborg;Falkenbergs FF;Gefle IF;IFK Göteborg;BK Häcken;Hammerby IF;Helsingborgs IF;Jönköpings Södra IF;Kalmar FF;Malmö FF;IFK Norrköping;Örebro SK;Östersunds FK;GIF Sundsvall;;;;;;;
Bundesliga;Augsburg;Bayer Leverkussen;Bayern Munich;Borussia Dortmund;Borussia Mönchengladbach;SV Darmstadt 98;Eintracht Frankfurt;Hamburger SV;Hannover 96;Hertha Berlin;1899 Hoffenheim;Ingolstadt 04;FC Köln;FSV Mainz 05;Schalke 04;VfB Stuttgart;Werder Bremen;VfL Wolfsburg;;;;;;
Champions League;;;;;;;;;;;;;;;;;;;;;;;;
Championship;Birmingham City;Blackburn Rovers;Bolton Wanderers;Brentford;Brighton & Hove Albion;Bristol City;Burnley;Cardiff City;Charlton Athletic;Derby County;Fulham;Huddersfield Town;Hull city;Ipswich Town;Leeds United;Middlesbrough;Milton Keynes Dons;Nottingham Forest;Preston North End;Queens Park Rangers;Reading;Rotherham United;Sheffield Wednesday;Wolverhampton Wanderers
Copa Del Rey;;;;;;;;;;;;;;;;;;;;;;;;
Coppa Italia;;;;;;;;;;;;;;;;;;;;;;;;
DFB Pokal;;;;;;;;;;;;;;;;;;;;;;;;
Emirates Cup;;;;;;;;;;;;;;;;;;;;;;;;
Eredivisie;Nederlanderna;ADO Den Haag;Ajax;AZ Alkmaar;SC Cambuur;De Graafschap;Excelsior;Feyenoord;FC Groningen;SC Heerenveen;Heracles Almelo;NEC Nijmegen;PEC Zwolle;PSV Eindhoven;Roda JC Kerkrade;FC Twente;FC Utrecht;Vitesse;Willem ll;;;;;
Europa League;;;;;;;;;;;;;;;;;;;;;;;;
Fa-Cup;;;;;;;;;;;;;;;;;;;;;;;;
Fotbolls EM;;;;;;;;;;;;;;;;;;;;;;;;
Fotbolls Vm;;;;;;;;;;;;;;;;;;;;;;;;
La Liga;Athletic Bilbao;Atlético Madrid;Barcelona;Betis;Celta Vigo;Deportivo La Coruña;Eibar;Espanyol;Getafe;Granada;Las Palmas;Levante;Málaga;Rayo Vallecano;Real Madrid;Real Sociedad;Sevilla;Sporting Gijón;Valencia;Villareal;;;;
League One;Barnsley;Blackpool;Bradford City;Burton Albion;Bury;Chesterfield;Colchester United;Coventry City;Crewe Alexandra;Doncaster Rovers;Fleetwood Town;Gillingham;Millwall;Oldham Athletic;Peterborough United;Port Vale;Rochdale;Scunthorpe United;Sheffield United;Shrewsbury Town;Southend United;Swindon Town;Walsall;Wigan Athletic
Ligue 1;Angers;Bastia;Bordeaux;Caen;Gazélec Ajaccio;Guingamp;Lille;Lorient;Lyon;Marseille;Monaco;Montpellier;Nantes;Nice;Paris Saint-Germain;Reims;Rennes;Saint-Etienne;Toulouse;Troyes;;;;
Premier League;England;Arsenal;Aston Villa;Bournemouth;Chelsea;Crystal Palace;Everton;Leicester City;Liverpool;Manchester City;Manchester United;Norwich City;Southampton;Stoke City;Sunderland;Swansea City;Tottenham Hotspur;Watford;West Bromwich Albion;West Ham United;;;;
Serie A;Atalanta;Bologna;Carpi;Chievo Verona;Empoli;Fiorentina;Frosinone;Genoa;Internazionale;Juventus;Lazio;Milan;Napoli;Palermo;Roma;Sampdoria;Sassuolo;Torino;Udinese;Verona;;;;
Tim Cup;;;;;;;;;;;;;;;;;;;;;;;;
